# key|artist|title|genreColor|googleDriveId
# The last parameter should be the song's URL. If it does not start with 'http', it will be parsed as a YouTube ID.
# Newlines are denoted with <br>
# Prefixing a character with ^ will force it to be lowercase
gramophone|Faux|Gramophone|Indie Dance|0B8_nDMQp-qqCRy1odzBBVC0yM3c
gravity|Umpire|Gravity<br>(feat. Liz Kretschmer)|Liquid Dubstep|0B8_nDMQp-qqCcm1BcGhCZUVoOGc
pressure|Draper|Pressure<br>(feat. Laura Brehm)|Liquid Dubstep|0B8_nDMQp-qqCNFg1WEdXX0s1dTA
equinox|Skrillex|First Of The Year (Equinox)|Brostep|0B8_nDMQp-qqCTERfdXFYRWdncm8
triumph|WRLD|Triumph|Future Bass|0B8_nDMQp-qqCS2N0Tkl1NkRHMWM
friends|Grabbitz|Friends<br>(with Faustix)|Hybrid Trap|0B8_nDMQp-qqCRkpwX2puYlc1LTA
thegirl|Hellberg|The Girl<br>(feat. Cozi Zuehlsdorff)|Big-Room House|0B8_nDMQp-qqCZ0RzU1djUzRTNWc
therunner|Faux|The Runner|Techstep|0B8_nDMQp-qqCbmVaZUtXQWljcXM
myfriend|Tristam|My Friend|Liquid Drumstep|0B8_nDMQp-qqCNFE4enhKSlEtS3c
dreams|Rogue|Dreams<br>(feat. Laura Brehm)|Liquid Drumstep|0B8_nDMQp-qqCdDdHbFVsVnZKRFk
onceagain|Tristam|Once Again|Moombahcore|0B8_nDMQp-qqCZGdhb3ZNZjhHYWM
puresunlight|Mr Fijiwiji, Laura Brehm, & AgNO3|Pure Sunlight|Industrial Hip-Hop|0B8_nDMQp-qqCeUtfLXFFWHlwRnc
rainbowroad|nanobii|Rainbow Road|Happy Hardcore|0B8_nDMQp-qqCU3ZGamRqSTg3Y0E
btmaerochord|Excision & Pegboard Nerds|Bring The Madness (feat. Mayor Apeshit)<br>(Aero Chord Remix)|Hybrid Trap|0B8_nDMQp-qqCUFVLZDU1dHJKZmc
btmnoisestorm|Excision & Pegboard Nerds|Bring The Madness (feat. Mayor Apeshit)<br>(Noisestorm Remix)|Electro Breaks|0B8_nDMQp-qqCX0FvX0dweDNvbzg
sandstorm|Darude|Sandstorm|ayy lmao|0B8_nDMQp-qqCZFE1SU8yN2w1UHc
sworchestral|Stephen Walking|Monstercat Orchestral Suite|ayy lmao|0B8_nDMQp-qqCeVBMNlBqMjJVbjQ
beyondthesurface|Varien|Beyond The Surface<br>(feat. Aloma Steele)|Future Industrial|0B8_nDMQp-qqCNklKbDZkcnFUNmc
loveandfear|FutureFreqs|Love & Fear|Glitch Hop|0B8_nDMQp-qqCdWZIX083SGVBM1U
changetheworld|Jetta|I'd Love To Change The World<br>(Matstubs Remix)|Hybrid Trap|0B8_nDMQp-qqCMjlsem9xQ0V4U2M
leavingyou|Savoy & Sound Remedy|Leaving You<br>(feat. Jojee)|Future Bass|0B8_nDMQp-qqCQmIzdFRWSU15Y2s
inertia|Draper|Inertia|Glitch Hop|0B8_nDMQp-qqCeVMzMjUzQUtJa2c
menandmachines|Draper|Men & Machines|Liquid Dubstep|0B8_nDMQp-qqCUFI3Y2JfVUxUTTQ
seeingstars|FutureFreqs|Seeing Stars|Drumstep|0B8_nDMQp-qqCOWxVT1p4RkJWbDA
swedenfaux|C418|Sweden<br>(Faux Remix)|Dancefloor Drum & Bass|0B8_nDMQp-qqCRWNVNWl6UXlSd1E
surface|Aero Chord|Surface|Hybrid Trap|0B8_nDMQp-qqCQ3FQUi1IWFRYUEE
insight|Haywyre|Insight|Liquid Dubstep|0B8_nDMQp-qqCczZ0c2xxR0FGa0U
more|Subformat|More<br>(feat. Charli Brix)|Dancefloor Drum & Bass|0B8_nDMQp-qqCQ005TVVYdFY3YjQ
sunofagun|Oh Land|Sun Of A Gun<br>(Jacob Plant Remix)|Liquid Dubstep|0B8_nDMQp-qqCeWpRSXM4NDRPajA
freshprincerazihel|Will Smith|The Fresh Prince Of Bel-Air<br>(Razihel Remix)|Glitch Hop|0B8_nDMQp-qqCYnVxeXZpNzZRdnM
fuckgravity|Virtual Riot|Fuck Gravity|Glitch Hop|0B8_nDMQp-qqCcW5hbjVNVzN2Y00
moments|Mutrix|Moments<br>(feat. Charity Vance)|Brostep|0B8_nDMQp-qqCYzJJTnNmSVhReWM
weareone|Pegboard Nerds|We Are One<br>(feat. Splitbreed)|Glitch Hop|0B8_nDMQp-qqCY21PYkgxQVA3MXc
whatsgoingon|Droptek|What's Going On|Trap|0B8_nDMQp-qqCWmU4SU9DWWhic0U
minty|Volant|Minty|Glitch Hop|0B8_nDMQp-qqCMmU3d0E5aDljTEE
ideekay|Ephixa|Ideekay|Glitch Hop|0B8_nDMQp-qqCcmgyRUc1TUxkeW8
somewobbles|Ephixa|Some Wobbles|Brostep|0B8_nDMQp-qqCZGNLQUdOSDJkTUU
fullgrizzly|Going Quantum & Stephen Walking|Full Grizzly|Brostep|0B8_nDMQp-qqCdVMwejhRZEVUbGM
findthatsomeone|Televisor|Find That Someone<br>(feat. J.U.D.G.E.)|Nu-Disco|0B8_nDMQp-qqCTnBDYlJvLUJlc0E
animebae|Sushi Killer & Kevin Villecco|Anime Bae|Future Bass|0B8_nDMQp-qqCT28tYU9yY2RWeDQ
kaleidoscope|Kasbo|Kaleidoscope|Future Bass|0B8_nDMQp-qqCd3hqZkhWUVA1T1E
dadsinspace|Stephen Walking|Dads In Space|Electro House|0B8_nDMQp-qqCOXZKaENvcllLNDA
bullseye|Kevin Drew|Bullseye|Moombahcore|0B8_nDMQp-qqCdGJ3ajl3M19PLTA
manslaughter|Let's Be Friends|Manslaughter<br>(VIP Mix)|Glitch Hop|0B8_nDMQp-qqCMFJfMkVHN0pmY1E
nofire|Protostar & MakO|No Fire<br>(feat. Rachel Hirons)|Dubstep|0B8_nDMQp-qqCZnRLU3A5dHBDLWc
seekingofthetruth|Razihel|Seeking Of The Truth<br>(feat. Taryn Manning)|Liquid Dubstep|0B8_nDMQp-qqCSVc2THR4UHROejg
thementalist|Mr FijiWiji|The Mentalist|Liquid Dubstep|0B8_nDMQp-qqCRHc0aEFrUkQ2Rkk
nightsinbangalore|Varien|Nights In Bangalore Part 2|Trap|0B8_nDMQp-qqCd2VwM28xaDNGRFE
bringthemadness|Excision & Pegboard Nerds|Bring The Madness<br>(feat. Mayor Apeshit)|Drumstep|0B8_nDMQp-qqCVHRrMGU5WG9oWFE
breakdownvip|Noisestorm|Breakdown VIP|Drumstep|0B8_nDMQp-qqCNHNWMHIxREcybGM
legends|Razihel|Legends<br>(feat. TeamMate)|Festival Trap|0B8_nDMQp-qqCQjZvXzdaQnZINVE
renegade|Noisestorm|Renegade|Complextro|0B8_nDMQp-qqCenRzUFpJZ3FPYnM
buildthecities|Karma Fields|Build The Cities<br>(feat. Kerli)|Karma Fields|0B8_nDMQp-qqCVjdZbkswcGZiR1U
snakeeyes|Feint|Snake Eyes<br>(feat. CoMa)|Dancefloor Drum & Bass|0B8_nDMQp-qqCdFc3N0t5SjU5SE0
faraway|Tristam & Braken|Far Away|Electro House|0B8_nDMQp-qqCNUZOQ2VNVEhlMkU
waytoodeep|Grabbitz|Way Too Deep|Brostep|0B8_nDMQp-qqCdWduTTdmamE0bXM
mrdoctor|Tristam|Mr. Doctor|Brostep|0B8_nDMQp-qqCcFBDTlBjWTRWa2s
flyingspaghettimonster|Doctor P|Flying Spaghetti Monster|Glitch Hop|0B8_nDMQp-qqCWGh5LWFZcG9INTQ
fairytaler|F.O.O.L|Fairytaler|Liquid Dubstep|0B8_nDMQp-qqCa2E2dmpJTzA4bGc
genesis|Protostar|Genesis|Glitch Hop|0B8_nDMQp-qqCazAzRy1VU0x4UTQ
seeyou|WRLD & Richard Caddock|See You|Indie Dance|0B8_nDMQp-qqCdENGRU5OZ2xiLTA
orbit|WRLD|Orbit<br>(feat. Richard Caddock)|Future Bass|0B8_nDMQp-qqCY0pBaTRlNWtnUUU
onelook|LVTHER|One Look<br>(feat. Mammals)|Indie Dance|0B8_nDMQp-qqCZ0hKYVI0MGlERFk
precipitate|AZEDIA|Precipitate|Liquid Dubstep|0B8_nDMQp-qqCYUFKa2N6VFcxczQ
valkyrie|Varien|Valkyrie|Symphonic Rock|0B8_nDMQp-qqCaGVrQXJUUWZiNDg
valkyrie2|Varien|Valkyrie II: Lacuna|Symphonic Rock|0B8_nDMQp-qqCcjBkTE9FLXBvc28
smoothcriminal|Haywyre|Smooth Criminal|Complextro|0B8_nDMQp-qqCaUxqNjU4NzZyVzA
thewayilikeit|Mandy Capristo|The Way I Like It<br>(Mutrix Remix)|Brostep|0B8_nDMQp-qqCcnRtc2c4eGxhR0U
rescueme|Insan3Lik3|Rescue Me<br>(feat. Jonny Rose)|Indie Dance|0B8_nDMQp-qqCdml5UVZTblZQU28
flight|Tristam & Braken|Flight|Drumstep|0B8_nDMQp-qqCUFA4LTBGaHNmaGc
boundless|Aero Chord|Boundless|Festival Trap|0B8_nDMQp-qqCdldXNXUwQk9QMTQ
rattlesnake|Rogue|Rattlesnake|Hybrid Trap|0B8_nDMQp-qqCNWZnajR1SWdhcUU
snowblind|Au5|Snowblind<br>(feat. Tasha Baxter)|Brostep|0B8_nDMQp-qqCQjRfRTNCUUpneDg
championswrld|Astronaut|Champions<br>(WRLD Remix)|Future Bass|0B8_nDMQp-qqCZWdHWmVpQzJ4M3M
pounce|Falcon Funk|Pounce|Glitch Hop|0B8_nDMQp-qqCd25IRERSX2RPLUk
runawayfromme|DotEXE|Run Away From Me|Liquid Drumstep|0B8_nDMQp-qqCQzFVWHJyVjlQNVE
killitwithfire|DotEXE|Kill It With Fire|Brostep|0B8_nDMQp-qqCb2VnNW8zNG1DYjg
killinit|Krewella|Killin' It|Drumstep|0B8_nDMQp-qqCUDhnSUJjR2FVSG8
fresh|23|Fresh|Brostep|0B8_nDMQp-qqCLU9UekNnQUZHeFk
discodancer|Matduke|Disco Dancer|Electro House|0B8_nDMQp-qqCa1QzSFNqSDh6MjQ
internetrebellion|Arion|Internet Rebellion|Liquid Dubstep|0B8_nDMQp-qqCVUVMS3hzT1ZLU2c
evolution|Mr FijiWiji|Evolution<br>(feat. Laura Brehm)|Trip Hop|0B8_nDMQp-qqCWUxVSm9GMFBSRGM
